county,muni,reporting_unit_name,congressional_district,senate_district,assembly_district,brad_schimel_rep,josh_kaul_dem,terry_larson_con,scattering,race
ADAMS,Town of ADAMS,Town of ADAMS Wards 1-3,Congressional - District 3,State Senate - District 14,Assembly - District 41,344,231,13,0,attorney general
ADAMS,Town of BIG FLATS,Town of BIG FLATS Wards 1-2,Congressional - District 3,State Senate - District 24,Assembly - District 72,251,155,19,0,attorney general
ADAMS,Town of COLBURN,Town of COLBURN Ward 1,Congressional - District 3,State Senate - District 24,Assembly - District 72,59,43,1,0,attorney general
ADAMS,Town of DELL PRAIRIE,Town of DELL PRAIRIE Wards 1-3,Congressional - District 3,State Senate - District 14,Assembly - District 41,406,325,16,0,attorney general
ADAMS,Town of EASTON,Town of EASTON Wards 1-2,Congressional - District 3,State Senate - District 14,Assembly - District 41,269,169,15,0,attorney general
ADAMS,Town of JACKSON,Town of JACKSON Wards 1-2,Congressional - District 3,State Senate - District 14,Assembly - District 41,290,219,10,0,attorney general
ADAMS,Town of LEOLA,Town of LEOLA Ward 1,Congressional - District 3,State Senate - District 24,Assembly - District 72,105,20,5,0,attorney general
ADAMS,Town of LINCOLN,Town of LINCOLN Ward 1,Congressional - District 3,State Senate - District 14,Assembly - District 41,82,64,7,0,attorney general
ADAMS,Town of MONROE,Town of MONROE Ward 1,Congressional - District 3,State Senate - District 24,Assembly - District 72,134,95,2,0,attorney general
ADAMS,Town of NEW CHESTER,Town of NEW CHESTER Wards 1-3,Congressional - District 3,State Senate - District 14,Assembly - District 41,211,142,9,0,attorney general
ADAMS,Town of NEW HAVEN,Town of NEW HAVEN Ward 1,Congressional - District 3,State Senate - District 14,Assembly - District 41,164,145,13,0,attorney general
ADAMS,Town of PRESTON,Town of PRESTON Wards 1-2,Congressional - District 3,State Senate - District 24,Assembly - District 72,360,270,13,0,attorney general
ADAMS,Town of QUINCY,Town of QUINCY Wards 1-3,Congressional - District 3,State Senate - District 14,Assembly - District 41,318,275,10,0,attorney general
ADAMS,Town of RICHFIELD,Town of RICHFIELD Ward 1,Congressional - District 3,State Senate - District 24,Assembly - District 72,54,23,2,0,attorney general
ADAMS,Town of ROME,Town of ROME Wards 1-5,Congressional - District 3,State Senate - District 24,Assembly - District 72,1068,788,29,0,attorney general
ADAMS,Town of SPRINGVILLE,Town of SPRINGVILLE Wards 1-2,Congressional - District 3,State Senate - District 14,Assembly - District 41,353,202,14,0,attorney general
ADAMS,Town of STRONGS PRAIRIE,Town of STRONGS PRAIRIE Wards 1-3,Congressional - District 3,State Senate - District 24,Assembly - District 72,300,233,11,0,attorney general
ADAMS,Village of FRIENDSHIP,Village of FRIENDSHIP Ward 1,Congressional - District 3,State Senate - District 14,Assembly - District 41,131,109,4,0,attorney general
ADAMS,City of ADAMS,City of ADAMS Wards 1-4,Congressional - District 3,State Senate - District 14,Assembly - District 41,337,301,15,0,attorney general
ADAMS,CITY OF WISCONSIN DELLS,"CITY OF WISCONSIN DELLS Wards 5,9",Congressional - District 3,State Senate - District 14,Assembly - District 41,7,9,0,0,attorney general
ASHLAND,Town of AGENDA,Town of AGENDA Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,124,68,0,0,attorney general
ASHLAND,Town of ASHLAND,Town of ASHLAND Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,91,141,4,0,attorney general
ASHLAND,Town of CHIPPEWA,Town of CHIPPEWA Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,101,69,4,0,attorney general
ASHLAND,Town of GINGLES,Town of GINGLES Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,152,232,7,0,attorney general
ASHLAND,Town of GORDON,Town of GORDON Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 74,83,52,3,0,attorney general
ASHLAND,Town of JACOBS,Town of JACOBS Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,152,105,3,1,attorney general
ASHLAND,Town of LA POINTE,Town of LA POINTE Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,50,195,2,0,attorney general
ASHLAND,Town of MARENGO,Town of MARENGO Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 74,91,109,2,0,attorney general
ASHLAND,Town of MORSE,Town of MORSE Wards 1-3,Congressional - District 7,State Senate - District 25,Assembly - District 74,107,131,3,0,attorney general
ASHLAND,Town of PEEKSVILLE,Town of PEEKSVILLE Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 74,42,28,4,0,attorney general
ASHLAND,Town of SANBORN,Town of SANBORN Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 74,62,364,9,0,attorney general
ASHLAND,Town of SHANAGOLDEN,Town of SHANAGOLDEN Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,30,31,2,0,attorney general
ASHLAND,Town of WHITE RIVER,Town of WHITE RIVER Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 74,264,141,4,0,attorney general
ASHLAND,Village of BUTTERNUT,Village of BUTTERNUT Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 74,63,70,1,0,attorney general
ASHLAND,City of ASHLAND,City of ASHLAND Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,199,189,5,0,attorney general
ASHLAND,City of ASHLAND,City of ASHLAND Ward 2,Congressional - District 7,State Senate - District 25,Assembly - District 74,61,140,8,0,attorney general
ASHLAND,City of ASHLAND,City of ASHLAND Ward 3,Congressional - District 7,State Senate - District 25,Assembly - District 74,82,166,3,0,attorney general
ASHLAND,City of ASHLAND,City of ASHLAND Ward 4,Congressional - District 7,State Senate - District 25,Assembly - District 74,128,259,3,0,attorney general
ASHLAND,City of ASHLAND,City of ASHLAND Ward 5,Congressional - District 7,State Senate - District 25,Assembly - District 74,83,268,3,0,attorney general
