county,muni,reporting_unit_name,congressional_district,senate_district,assembly_district,scott_walker_rebecca_kleefisch_rep,tony_evers_mandela_barnes_dem,phillip_anderson_patrick_baird_lib,michael_j_white_tiffany_anderson_wgr,maggie_turnbull_wil_losch_ind,arnie_enz_no_candidate_ind,ryan_cason_write_in_no_candidate_rep,paul_boucher_write_in_no_candidate_dem,mark_s_grimek_write_in_no_candidate_con,jared_william_landry_write_in_no_candidate_dem,robbie_hoffman_write_in_no_candidate_ind,richard_michael_turtenwald_write_in_no_candidate_ind,no_candidate_corban_gehler_write_in_dem,no_candidate_william_henry_davis_iii_write_in_dem,scattering,race
ADAMS,Town of ADAMS,Town of ADAMS Wards 1-3,Congressional - District 3,State Senate - District 14,Assembly - District 41,356,233,9,6,3,0,0,0,0,0,0,0,0,0,0,governor
ADAMS,Town of BIG FLATS,Town of BIG FLATS Wards 1-2,Congressional - District 3,State Senate - District 24,Assembly - District 72,262,162,5,6,5,0,0,0,0,0,0,0,0,0,0,governor
ADAMS,Town of COLBURN,Town of COLBURN Ward 1,Congressional - District 3,State Senate - District 24,Assembly - District 72,63,40,1,0,1,0,0,0,0,0,0,0,0,0,0,governor
ADAMS,Town of DELL PRAIRIE,Town of DELL PRAIRIE Wards 1-3,Congressional - District 3,State Senate - District 14,Assembly - District 41,270,333,1,4,7,1,0,0,0,0,0,0,0,0,0,governor
ADAMS,Town of EASTON,Town of EASTON Wards 1-2,Congressional - District 3,State Senate - District 14,Assembly - District 41,272,184,5,0,2,1,0,0,0,0,0,0,0,0,0,governor
ADAMS,Town of JACKSON,Town of JACKSON Wards 1-2,Congressional - District 3,State Senate - District 14,Assembly - District 41,274,235,7,1,4,1,0,0,0,0,0,0,0,0,0,governor
ADAMS,Town of LEOLA,Town of LEOLA Ward 1,Congressional - District 3,State Senate - District 24,Assembly - District 72,113,19,0,0,1,0,0,0,0,0,0,0,0,0,0,governor
ADAMS,Town of LINCOLN,Town of LINCOLN Ward 1,Congressional - District 3,State Senate - District 14,Assembly - District 41,79,74,1,0,1,1,0,0,0,0,0,0,0,0,0,governor
ADAMS,Town of MONROE,Town of MONROE Ward 1,Congressional - District 3,State Senate - District 24,Assembly - District 72,145,88,0,1,0,0,0,0,0,0,0,0,0,0,0,governor
ADAMS,Town of NEW CHESTER,Town of NEW CHESTER Wards 1-3,Congressional - District 3,State Senate - District 14,Assembly - District 41,209,152,4,2,1,1,0,0,0,0,0,0,0,0,0,governor
ADAMS,Town of NEW HAVEN,Town of NEW HAVEN Ward 1,Congressional - District 3,State Senate - District 14,Assembly - District 41,158,158,2,1,9,0,0,0,0,0,0,0,0,0,0,governor
ADAMS,Town of PRESTON,Town of PRESTON Wards 1-2,Congressional - District 3,State Senate - District 24,Assembly - District 72,364,279,5,2,6,0,0,0,0,0,0,0,0,0,0,governor
