contest_name,reporting_unit_id,hindi,ru_order,county,muni,reporting_unit_name,congressional_district,senate_district,assembly_district,jay_schroeder_rep,doug_la_follette_dem,brad_karas_write_in_wgr,scattering,race
SECRETARY OF STATE,146088,1002,1,ADAMS,Town of ADAMS,Town of ADAMS Wards 1-3,Congressional - District 3,State Senate - District 14,Assembly - District 41,332,245,0,0,secretary of state
SECRETARY OF STATE,143378,1004,1,ADAMS,Town of BIG FLATS,Town of BIG FLATS Wards 1-2,Congressional - District 3,State Senate - District 24,Assembly - District 72,245,182,0,0,secretary of state
SECRETARY OF STATE,144938,1006,1,ADAMS,Town of COLBURN,Town of COLBURN Ward 1,Congressional - District 3,State Senate - District 24,Assembly - District 72,57,46,0,0,secretary of state
SECRETARY OF STATE,145996,1008,1,ADAMS,Town of DELL PRAIRIE,Town of DELL PRAIRIE Wards 1-3,Congressional - District 3,State Senate - District 14,Assembly - District 41,397,350,0,0,secretary of state
SECRETARY OF STATE,143180,1010,1,ADAMS,Town of EASTON,Town of EASTON Wards 1-2,Congressional - District 3,State Senate - District 14,Assembly - District 41,265,187,0,0,secretary of state
SECRETARY OF STATE,145262,1012,1,ADAMS,Town of JACKSON,Town of JACKSON Wards 1-2,Congressional - District 3,State Senate - District 14,Assembly - District 41,280,239,0,0,secretary of state
SECRETARY OF STATE,143123,1014,1,ADAMS,Town of LEOLA,Town of LEOLA Ward 1,Congressional - District 3,State Senate - District 24,Assembly - District 72,104,26,0,0,secretary of state
SECRETARY OF STATE,143434,1016,1,ADAMS,Town of LINCOLN,Town of LINCOLN Ward 1,Congressional - District 3,State Senate - District 14,Assembly - District 41,81,70,0,0,secretary of state
SECRETARY OF STATE,143124,1018,1,ADAMS,Town of MONROE,Town of MONROE Ward 1,Congressional - District 3,State Senate - District 24,Assembly - District 72,124,101,0,0,secretary of state
SECRETARY OF STATE,144948,1020,1,ADAMS,Town of NEW CHESTER,Town of NEW CHESTER Wards 1-3,Congressional - District 3,State Senate - District 14,Assembly - District 41,198,158,0,0,secretary of state
SECRETARY OF STATE,144943,1022,1,ADAMS,Town of NEW HAVEN,Town of NEW HAVEN Ward 1,Congressional - District 3,State Senate - District 14,Assembly - District 41,168,153,0,0,secretary of state
SECRETARY OF STATE,145023,1024,1,ADAMS,Town of PRESTON,Town of PRESTON Wards 1-2,Congressional - District 3,State Senate - District 24,Assembly - District 72,350,299,0,0,secretary of state
SECRETARY OF STATE,143002,1026,1,ADAMS,Town of QUINCY,Town of QUINCY Wards 1-3,Congressional - District 3,State Senate - District 14,Assembly - District 41,307,288,0,0,secretary of state
SECRETARY OF STATE,144939,1028,1,ADAMS,Town of RICHFIELD,Town of RICHFIELD Ward 1,Congressional - District 3,State Senate - District 24,Assembly - District 72,49,28,0,0,secretary of state
SECRETARY OF STATE,145044,1030,1,ADAMS,Town of ROME,Town of ROME Wards 1-5,Congressional - District 3,State Senate - District 24,Assembly - District 72,1063,792,0,0,secretary of state
SECRETARY OF STATE,145255,1032,1,ADAMS,Town of SPRINGVILLE,Town of SPRINGVILLE Wards 1-2,Congressional - District 3,State Senate - District 14,Assembly - District 41,333,234,0,0,secretary of state
SECRETARY OF STATE,144863,1034,1,ADAMS,Town of STRONGS PRAIRIE,Town of STRONGS PRAIRIE Wards 1-3,Congressional - District 3,State Senate - District 24,Assembly - District 72,283,260,0,0,secretary of state
SECRETARY OF STATE,143191,1126,1,ADAMS,Village of FRIENDSHIP,Village of FRIENDSHIP Ward 1,Congressional - District 3,State Senate - District 14,Assembly - District 41,125,116,0,0,secretary of state
SECRETARY OF STATE,146082,1201,1,ADAMS,City of ADAMS,City of ADAMS Wards 1-4,Congressional - District 3,State Senate - District 14,Assembly - District 41,327,321,0,0,secretary of state
SECRETARY OF STATE,146373,1291,5,ADAMS,CITY OF WISCONSIN DELLS,"CITY OF WISCONSIN DELLS Wards 5,9",Congressional - District 3,State Senate - District 14,Assembly - District 41,6,9,0,0,secretary of state
SECRETARY OF STATE,145290,2002,1,ASHLAND,Town of AGENDA,Town of AGENDA Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,111,78,0,0,secretary of state
SECRETARY OF STATE,145300,2004,1,ASHLAND,Town of ASHLAND,Town of ASHLAND Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,88,149,0,0,secretary of state
SECRETARY OF STATE,145368,2006,1,ASHLAND,Town of CHIPPEWA,Town of CHIPPEWA Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,98,74,0,0,secretary of state
SECRETARY OF STATE,143561,2008,1,ASHLAND,Town of GINGLES,Town of GINGLES Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,151,242,0,0,secretary of state
SECRETARY OF STATE,146186,2010,1,ASHLAND,Town of GORDON,Town of GORDON Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 74,79,60,0,0,secretary of state
SECRETARY OF STATE,146187,2012,1,ASHLAND,Town of JACOBS,Town of JACOBS Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,148,117,0,1,secretary of state
SECRETARY OF STATE,145291,2014,1,ASHLAND,Town of LA POINTE,Town of LA POINTE Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,48,198,0,0,secretary of state
SECRETARY OF STATE,146268,2016,1,ASHLAND,Town of MARENGO,Town of MARENGO Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 74,92,110,0,0,secretary of state
SECRETARY OF STATE,145292,2018,1,ASHLAND,Town of MORSE,Town of MORSE Wards 1-3,Congressional - District 7,State Senate - District 25,Assembly - District 74,106,141,0,0,secretary of state
SECRETARY OF STATE,145293,2020,1,ASHLAND,Town of PEEKSVILLE,Town of PEEKSVILLE Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 74,40,36,0,0,secretary of state
SECRETARY OF STATE,145294,2022,1,ASHLAND,Town of SANBORN,Town of SANBORN Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 74,70,376,0,0,secretary of state
SECRETARY OF STATE,145295,2024,1,ASHLAND,Town of SHANAGOLDEN,Town of SHANAGOLDEN Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,30,35,0,0,secretary of state
SECRETARY OF STATE,146188,2026,1,ASHLAND,Town of WHITE RIVER,Town of WHITE RIVER Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 74,253,150,0,0,secretary of state
SECRETARY OF STATE,146269,2106,1,ASHLAND,Village of BUTTERNUT,Village of BUTTERNUT Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 74,59,75,0,0,secretary of state
SECRETARY OF STATE,145751,2201,1,ASHLAND,City of ASHLAND,City of ASHLAND Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,201,195,0,1,secretary of state
SECRETARY OF STATE,145744,2201,2,ASHLAND,City of ASHLAND,City of ASHLAND Ward 2,Congressional - District 7,State Senate - District 25,Assembly - District 74,59,155,0,0,secretary of state
SECRETARY OF STATE,145752,2201,3,ASHLAND,City of ASHLAND,City of ASHLAND Ward 3,Congressional - District 7,State Senate - District 25,Assembly - District 74,80,175,0,0,secretary of state
SECRETARY OF STATE,145753,2201,4,ASHLAND,City of ASHLAND,City of ASHLAND Ward 4,Congressional - District 7,State Senate - District 25,Assembly - District 74,126,267,0,0,secretary of state
SECRETARY OF STATE,145754,2201,5,ASHLAND,City of ASHLAND,City of ASHLAND Ward 5,Congressional - District 7,State Senate - District 25,Assembly - District 74,86,274,0,0,secretary of state
SECRETARY OF STATE,145745,2201,6,ASHLAND,City of ASHLAND,City of ASHLAND Ward 6,Congressional - District 7,State Senate - District 25,Assembly - District 74,60,186,0,1,secretary of state
SECRETARY OF STATE,145746,2201,7,ASHLAND,City of ASHLAND,City of ASHLAND Ward 7,Congressional - District 7,State Senate - District 25,Assembly - District 74,88,282,0,0,secretary of state
SECRETARY OF STATE,145747,2201,8,ASHLAND,City of ASHLAND,City of ASHLAND Ward 8,Congressional - District 7,State Senate - District 25,Assembly - District 74,83,203,0,0,secretary of state
SECRETARY OF STATE,145748,2201,9,ASHLAND,City of ASHLAND,City of ASHLAND Ward 9,Congressional - District 7,State Senate - District 25,Assembly - District 74,59,177,0,1,secretary of state
SECRETARY OF STATE,145749,2201,10,ASHLAND,City of ASHLAND,City of ASHLAND Ward 10,Congressional - District 7,State Senate - District 25,Assembly - District 74,93,178,0,1,secretary of state
SECRETARY OF STATE,145750,2201,11,ASHLAND,City of ASHLAND,City of ASHLAND Ward 11,Congressional - District 7,State Senate - District 25,Assembly - District 74,105,224,0,0,secretary of state
SECRETARY OF STATE,145296,2251,1,ASHLAND,City of MELLEN,City of MELLEN Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,80,137,0,0,secretary of state
SECRETARY OF STATE,146129,3002,1,BARRON,Town of ALMENA,Town of ALMENA Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 75,242,147,0,0,secretary of state
SECRETARY OF STATE,146491,3004,1,BARRON,Town of ARLAND,Town of ARLAND Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,120,122,0,0,secretary of state
SECRETARY OF STATE,146130,3006,1,BARRON,Town of BARRON,Town of BARRON Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 75,223,89,0,0,secretary of state
SECRETARY OF STATE,146492,3008,1,BARRON,Town of BEAR LAKE,Town of BEAR LAKE Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,158,148,0,0,secretary of state
SECRETARY OF STATE,146493,3010,1,BARRON,Town of CEDAR LAKE,Town of CEDAR LAKE Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,408,213,0,0,secretary of state
SECRETARY OF STATE,146664,3012,1,BARRON,Town of CHETEK,Town of CHETEK Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 75,536,373,0,0,secretary of state
SECRETARY OF STATE,146494,3014,1,BARRON,Town of CLINTON,Town of CLINTON Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,154,117,0,0,secretary of state
SECRETARY OF STATE,146131,3016,1,BARRON,Town of CRYSTAL LAKE,Town of CRYSTAL LAKE Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,201,129,0,0,secretary of state
SECRETARY OF STATE,146132,3018,1,BARRON,Town of CUMBERLAND,Town of CUMBERLAND Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,220,171,0,0,secretary of state
SECRETARY OF STATE,143360,3020,1,BARRON,Town of DALLAS,Town of DALLAS Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,153,81,0,1,secretary of state
SECRETARY OF STATE,146134,3022,1,BARRON,Town of DOVRE,Town of DOVRE Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,178,140,0,0,secretary of state
SECRETARY OF STATE,146135,3024,1,BARRON,Town of DOYLE,Town of DOYLE Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 75,146,84,0,0,secretary of state
SECRETARY OF STATE,144996,3026,1,BARRON,Town of LAKELAND,Town of LAKELAND Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 75,277,197,0,0,secretary of state
SECRETARY OF STATE,146064,3028,1,BARRON,Town of MAPLE GROVE,Town of MAPLE GROVE Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 75,251,125,0,0,secretary of state
SECRETARY OF STATE,145013,3030,1,BARRON,Town of MAPLE PLAIN,Town of MAPLE PLAIN Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,208,200,0,0,secretary of state
SECRETARY OF STATE,145016,3032,1,BARRON,Town of OAK GROVE,Town of OAK GROVE Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 75,218,175,0,0,secretary of state
SECRETARY OF STATE,145799,3034,1,BARRON,Town of PRAIRIE FARM,Town of PRAIRIE FARM Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 75,119,100,0,0,secretary of state
SECRETARY OF STATE,145905,3036,1,BARRON,Town of PRAIRIE LAKE,Town of PRAIRIE LAKE Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 75,459,264,0,0,secretary of state
SECRETARY OF STATE,145498,3038,1,BARRON,Town of RICE LAKE,Town of RICE LAKE Wards 1-4,Congressional - District 7,State Senate - District 25,Assembly - District 75,721,633,0,2,secretary of state
SECRETARY OF STATE,146073,3040,1,BARRON,Town of SIOUX CREEK,Town of SIOUX CREEK Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,170,101,0,0,secretary of state
SECRETARY OF STATE,145101,3042,1,BARRON,Town of STANFOLD,Town of STANFOLD Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,185,129,0,0,secretary of state
SECRETARY OF STATE,146128,3044,1,BARRON,Town of STANLEY,Town of STANLEY Wards 1-4,Congressional - District 7,State Senate - District 25,Assembly - District 75,678,420,1,1,secretary of state
SECRETARY OF STATE,145151,3046,1,BARRON,Town of SUMNER,Town of SUMNER Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,182,132,0,0,secretary of state
SECRETARY OF STATE,145154,3048,1,BARRON,Town of TURTLE LAKE,Town of TURTLE LAKE Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,140,98,0,0,secretary of state
SECRETARY OF STATE,143408,3050,1,BARRON,Town of VANCE CREEK,Town of VANCE CREEK Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,143,126,0,0,secretary of state
SECRETARY OF STATE,145093,3101,1,BARRON,Village of ALMENA,Village of ALMENA Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,136,67,0,0,secretary of state
SECRETARY OF STATE,143766,3111,1,BARRON,Village of CAMERON,Village of CAMERON Wards 1-3,Congressional - District 7,State Senate - District 25,Assembly - District 75,330,266,0,0,secretary of state
SECRETARY OF STATE,146495,3116,1,BARRON,Village of DALLAS,Village of DALLAS Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,75,39,0,0,secretary of state
SECRETARY OF STATE,146496,3136,1,BARRON,Village of HAUGEN,Village of HAUGEN Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,67,58,0,0,secretary of state
