county,muni,reporting_unit_name,congressional_district,senate_district,assembly_district,leah_vukmir_rep,tammy_baldwin_dem,mary_jo_walters_write_in_ind,john_schiess_write_in_ind,scattering,race
ADAMS,Town of ADAMS,Town of ADAMS Wards 1-3,Congressional - District 3,State Senate - District 14,Assembly - District 41,316,283,0,0,1,US senator
ADAMS,Town of BIG FLATS,Town of BIG FLATS Wards 1-2,Congressional - District 3,State Senate - District 24,Assembly - District 72,232,198,0,0,1,US senator
ADAMS,Town of COLBURN,Town of COLBURN Ward 1,Congressional - District 3,State Senate - District 24,Assembly - District 72,54,49,0,0,0,US senator
ADAMS,Town of DELL PRAIRIE,Town of DELL PRAIRIE Wards 1-3,Congressional - District 3,State Senate - District 14,Assembly - District 41,369,395,0,0,1,US senator
ADAMS,Town of EASTON,Town of EASTON Wards 1-2,Congressional - District 3,State Senate - District 14,Assembly - District 41,252,208,0,0,1,US senator
ADAMS,Town of JACKSON,Town of JACKSON Wards 1-2,Congressional - District 3,State Senate - District 14,Assembly - District 41,276,248,0,0,0,US senator
ADAMS,Town of LEOLA,Town of LEOLA Ward 1,Congressional - District 3,State Senate - District 24,Assembly - District 72,102,28,0,0,0,US senator
ADAMS,Town of LINCOLN,Town of LINCOLN Ward 1,Congressional - District 3,State Senate - District 14,Assembly - District 41,69,86,0,0,0,US senator
ADAMS,Town of MONROE,Town of MONROE Ward 1,Congressional - District 3,State Senate - District 24,Assembly - District 72,124,110,0,0,0,US senator
ADAMS,Town of NEW CHESTER,Town of NEW CHESTER Wards 1-3,Congressional - District 3,State Senate - District 14,Assembly - District 41,179,184,0,0,1,US senator
ADAMS,Town of NEW HAVEN,Town of NEW HAVEN Ward 1,Congressional - District 3,State Senate - District 14,Assembly - District 41,152,173,0,0,0,US senator
ADAMS,Town of PRESTON,Town of PRESTON Wards 1-2,Congressional - District 3,State Senate - District 24,Assembly - District 72,344,318,0,0,0,US senator
ADAMS,Town of QUINCY,Town of QUINCY Wards 1-3,Congressional - District 3,State Senate - District 14,Assembly - District 41,298,313,0,0,0,US senator
ADAMS,Town of RICHFIELD,Town of RICHFIELD Ward 1,Congressional - District 3,State Senate - District 24,Assembly - District 72,46,36,0,0,0,US senator
ADAMS,Town of ROME,Town of ROME Wards 1-5,Congressional - District 3,State Senate - District 24,Assembly - District 72,1009,887,0,0,1,US senator
ADAMS,Town of SPRINGVILLE,Town of SPRINGVILLE Wards 1-2,Congressional - District 3,State Senate - District 14,Assembly - District 41,326,246,0,0,0,US senator
ADAMS,Town of STRONGS PRAIRIE,Town of STRONGS PRAIRIE Wards 1-3,Congressional - District 3,State Senate - District 24,Assembly - District 72,271,283,0,0,0,US senator
ADAMS,Village of FRIENDSHIP,Village of FRIENDSHIP Ward 1,Congressional - District 3,State Senate - District 14,Assembly - District 41,121,131,0,0,0,US senator
ADAMS,City of ADAMS,City of ADAMS Wards 1-4,Congressional - District 3,State Senate - District 14,Assembly - District 41,305,353,0,0,2,US senator
ADAMS,CITY OF WISCONSIN DELLS,"CITY OF WISCONSIN DELLS Wards 5,9",Congressional - District 3,State Senate - District 14,Assembly - District 41,9,8,0,0,0,US senator
ASHLAND,Town of AGENDA,Town of AGENDA Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,105,91,0,0,0,US senator
ASHLAND,Town of ASHLAND,Town of ASHLAND Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,89,153,0,0,0,US senator
ASHLAND,Town of CHIPPEWA,Town of CHIPPEWA Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,92,85,0,0,0,US senator
ASHLAND,Town of GINGLES,Town of GINGLES Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,143,255,0,0,2,US senator
ASHLAND,Town of GORDON,Town of GORDON Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 74,80,61,0,0,0,US senator
ASHLAND,Town of JACOBS,Town of JACOBS Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,157,120,0,0,0,US senator
ASHLAND,Town of LA POINTE,Town of LA POINTE Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,40,211,0,0,1,US senator
ASHLAND,Town of MARENGO,Town of MARENGO Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 74,88,117,0,0,0,US senator
ASHLAND,Town of MORSE,Town of MORSE Wards 1-3,Congressional - District 7,State Senate - District 25,Assembly - District 74,106,147,0,0,0,US senator
ASHLAND,Town of PEEKSVILLE,Town of PEEKSVILLE Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 74,41,33,0,0,0,US senator
ASHLAND,Town of SANBORN,Town of SANBORN Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 74,58,390,0,0,0,US senator
ASHLAND,Town of SHANAGOLDEN,Town of SHANAGOLDEN Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,28,37,0,0,0,US senator
ASHLAND,Town of WHITE RIVER,Town of WHITE RIVER Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 74,249,164,0,0,0,US senator
ASHLAND,Village of BUTTERNUT,Village of BUTTERNUT Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 74,55,79,0,0,0,US senator
ASHLAND,City of ASHLAND,City of ASHLAND Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,173,224,0,0,0,US senator
ASHLAND,City of ASHLAND,City of ASHLAND Ward 2,Congressional - District 7,State Senate - District 25,Assembly - District 74,55,162,0,0,0,US senator
ASHLAND,City of ASHLAND,City of ASHLAND Ward 3,Congressional - District 7,State Senate - District 25,Assembly - District 74,79,178,0,0,0,US senator
ASHLAND,City of ASHLAND,City of ASHLAND Ward 4,Congressional - District 7,State Senate - District 25,Assembly - District 74,111,285,0,0,0,US senator
ASHLAND,City of ASHLAND,City of ASHLAND Ward 5,Congressional - District 7,State Senate - District 25,Assembly - District 74,77,284,0,0,0,US senator
ASHLAND,City of ASHLAND,City of ASHLAND Ward 6,Congressional - District 7,State Senate - District 25,Assembly - District 74,53,196,0,0,1,US senator
ASHLAND,City of ASHLAND,City of ASHLAND Ward 7,Congressional - District 7,State Senate - District 25,Assembly - District 74,82,299,0,0,1,US senator
ASHLAND,City of ASHLAND,City of ASHLAND Ward 8,Congressional - District 7,State Senate - District 25,Assembly - District 74,77,209,0,0,0,US senator
ASHLAND,City of ASHLAND,City of ASHLAND Ward 9,Congressional - District 7,State Senate - District 25,Assembly - District 74,54,179,0,0,2,US senator
ASHLAND,City of ASHLAND,City of ASHLAND Ward 10,Congressional - District 7,State Senate - District 25,Assembly - District 74,80,192,0,0,1,US senator
ASHLAND,City of ASHLAND,City of ASHLAND Ward 11,Congressional - District 7,State Senate - District 25,Assembly - District 74,102,233,0,0,0,US senator
ASHLAND,City of MELLEN,City of MELLEN Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,77,149,0,0,0,US senator
BARRON,Town of ALMENA,Town of ALMENA Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 75,224,165,0,0,0,US senator
BARRON,Town of ARLAND,Town of ARLAND Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,111,132,0,0,0,US senator
BARRON,Town of BARRON,Town of BARRON Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 75,217,103,0,0,0,US senator
BARRON,Town of BEAR LAKE,Town of BEAR LAKE Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,157,153,0,0,0,US senator
BARRON,Town of CEDAR LAKE,Town of CEDAR LAKE Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,398,239,0,0,0,US senator
BARRON,Town of CHETEK,Town of CHETEK Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 75,511,403,0,0,0,US senator
BARRON,Town of CLINTON,Town of CLINTON Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,144,127,0,0,0,US senator
BARRON,Town of CRYSTAL LAKE,Town of CRYSTAL LAKE Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,191,137,0,0,0,US senator
BARRON,Town of CUMBERLAND,Town of CUMBERLAND Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,216,174,0,0,0,US senator
BARRON,Town of DALLAS,Town of DALLAS Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,149,91,0,0,0,US senator
BARRON,Town of DOVRE,Town of DOVRE Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,180,141,0,0,0,US senator
BARRON,Town of DOYLE,Town of DOYLE Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 75,137,93,0,1,0,US senator
BARRON,Town of LAKELAND,Town of LAKELAND Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 75,268,211,0,0,0,US senator
BARRON,Town of MAPLE GROVE,Town of MAPLE GROVE Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 75,249,131,0,0,0,US senator
BARRON,Town of MAPLE PLAIN,Town of MAPLE PLAIN Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,198,210,0,0,0,US senator
BARRON,Town of OAK GROVE,Town of OAK GROVE Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 75,213,194,0,0,0,US senator
BARRON,Town of PRAIRIE FARM,Town of PRAIRIE FARM Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 75,113,111,0,0,0,US senator
BARRON,Town of PRAIRIE LAKE,Town of PRAIRIE LAKE Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 75,436,287,0,0,0,US senator
BARRON,Town of RICE LAKE,Town of RICE LAKE Wards 1-4,Congressional - District 7,State Senate - District 25,Assembly - District 75,698,675,0,0,1,US senator
BARRON,Town of SIOUX CREEK,Town of SIOUX CREEK Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,160,114,0,0,0,US senator
BARRON,Town of STANFOLD,Town of STANFOLD Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,190,129,0,0,0,US senator
BARRON,Town of STANLEY,Town of STANLEY Wards 1-4,Congressional - District 7,State Senate - District 25,Assembly - District 75,653,449,0,0,3,US senator
BARRON,Town of SUMNER,Town of SUMNER Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,176,141,0,0,0,US senator
BARRON,Town of TURTLE LAKE,Town of TURTLE LAKE Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,132,106,0,0,1,US senator
BARRON,Town of VANCE CREEK,Town of VANCE CREEK Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,138,133,0,0,0,US senator
BARRON,Village of ALMENA,Village of ALMENA Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,131,73,0,0,0,US senator
BARRON,Village of CAMERON,Village of CAMERON Wards 1-3,Congressional - District 7,State Senate - District 25,Assembly - District 75,322,277,0,0,2,US senator
BARRON,Village of DALLAS,Village of DALLAS Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,70,48,0,0,0,US senator
BARRON,Village of HAUGEN,Village of HAUGEN Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,61,66,0,0,0,US senator
BARRON,VILLAGE OF NEW AUBURN,VILLAGE OF NEW AUBURN Ward 2,Congressional - District 7,State Senate - District 23,Assembly - District 67,2,6,0,0,0,US senator
BARRON,VILLAGE OF NEW AUBURN,VILLAGE OF NEW AUBURN Ward 3,Congressional - District 7,State Senate - District 25,Assembly - District 75,0,0,0,0,0,US senator
BARRON,Village of PRAIRIE FARM,Village of PRAIRIE FARM Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,80,66,0,0,0,US senator
BARRON,Village of TURTLE LAKE,Village of TURTLE LAKE Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,145,120,0,0,0,US senator
BARRON,City of BARRON,City of BARRON Wards 1-7,Congressional - District 7,State Senate - District 25,Assembly - District 75,499,567,0,0,1,US senator
BARRON,City of CHETEK,City of CHETEK Wards 1-4,Congressional - District 7,State Senate - District 25,Assembly - District 75,413,372,0,0,2,US senator
BARRON,City of CUMBERLAND,City of CUMBERLAND Wards 1-4,Congressional - District 7,State Senate - District 25,Assembly - District 75,442,492,0,0,0,US senator
BARRON,City of RICE LAKE,City of RICE LAKE Wards 1-13,Congressional - District 7,State Senate - District 25,Assembly - District 75,1487,1635,0,0,0,US senator
BAYFIELD,Town of BARKSDALE,Town of BARKSDALE Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,167,258,0,0,0,US senator
BAYFIELD,Town of BARNES,Town of BARNES Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,251,267,0,0,0,US senator
BAYFIELD,Town of BAYFIELD,Town of BAYFIELD Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,127,359,0,0,0,US senator
BAYFIELD,Town of BAYVIEW,Town of BAYVIEW Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,123,203,0,0,0,US senator
BAYFIELD,Town of BELL,Town of BELL Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,72,152,0,0,0,US senator
BAYFIELD,Town of CABLE,Town of CABLE Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,224,255,0,0,0,US senator
BAYFIELD,Town of CLOVER,Town of CLOVER Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,70,105,0,0,0,US senator
