contest_name,reporting_unit_id,hindi,ru_order,county,muni,reporting_unit_name,congressional_district,senate_district,assembly_district,travis_hartwig_rep,sarah_godlewski_dem,andrew_zuelke_con,scattering,race
STATE TREASURER,146088,1002,1,ADAMS,Town of ADAMS,Town of ADAMS Wards 1-3,Congressional - District 3,State Senate - District 14,Assembly - District 41,324,232,20,0,state treasurer
STATE TREASURER,143378,1004,1,ADAMS,Town of BIG FLATS,Town of BIG FLATS Wards 1-2,Congressional - District 3,State Senate - District 24,Assembly - District 72,224,181,18,0,state treasurer
STATE TREASURER,144938,1006,1,ADAMS,Town of COLBURN,Town of COLBURN Ward 1,Congressional - District 3,State Senate - District 24,Assembly - District 72,58,38,5,0,state treasurer
STATE TREASURER,145996,1008,1,ADAMS,Town of DELL PRAIRIE,Town of DELL PRAIRIE Wards 1-3,Congressional - District 3,State Senate - District 14,Assembly - District 41,397,320,24,0,state treasurer
STATE TREASURER,143180,1010,1,ADAMS,Town of EASTON,Town of EASTON Wards 1-2,Congressional - District 3,State Senate - District 14,Assembly - District 41,257,181,18,0,state treasurer
STATE TREASURER,145262,1012,1,ADAMS,Town of JACKSON,Town of JACKSON Wards 1-2,Congressional - District 3,State Senate - District 14,Assembly - District 41,280,227,21,0,state treasurer
STATE TREASURER,143123,1014,1,ADAMS,Town of LEOLA,Town of LEOLA Ward 1,Congressional - District 3,State Senate - District 24,Assembly - District 72,101,24,4,0,state treasurer
STATE TREASURER,143434,1016,1,ADAMS,Town of LINCOLN,Town of LINCOLN Ward 1,Congressional - District 3,State Senate - District 14,Assembly - District 41,73,73,6,0,state treasurer
STATE TREASURER,143124,1018,1,ADAMS,Town of MONROE,Town of MONROE Ward 1,Congressional - District 3,State Senate - District 24,Assembly - District 72,127,97,4,0,state treasurer
STATE TREASURER,144948,1020,1,ADAMS,Town of NEW CHESTER,Town of NEW CHESTER Wards 1-3,Congressional - District 3,State Senate - District 14,Assembly - District 41,192,152,10,0,state treasurer
STATE TREASURER,144943,1022,1,ADAMS,Town of NEW HAVEN,Town of NEW HAVEN Ward 1,Congressional - District 3,State Senate - District 14,Assembly - District 41,163,135,19,0,state treasurer
