office,votes,candidate,party
GOVERNOR,2673308,Total Votes,NA
GOVERNOR,1295080,Scott Walker / Rebecca Kleefisch,Republican
GOVERNOR,1324307,Tony Evers / Mandela Barnes,Democrat
GOVERNOR,20225,Phillip Anderson / Patrick Baird,Libertarian
GOVERNOR,11087,Michael J. White / Tiffany Anderson,Wisconsin Green
GOVERNOR,18884,Maggie Turnbull / Wil Losch,Independent
GOVERNOR,2745,Arnie Enz / No Candidate,Independent
GOVERNOR,4,Ryan Cason (Write-in)/ No Candidate,Republican
GOVERNOR,1,Paul Boucher (Write-in)/No Candidate,Democrat
GOVERNOR,2,Mark S. Grimek (Write-in)/No Candidate,Constitution
GOVERNOR,0,Jared William Landry (Write-in)/No Candidate,Democrat
GOVERNOR,1,Robbie Hoffman (Write-in)/No Candidate,Independent
GOVERNOR,2,Richard Michael Turtenwald (Write-in)/No Candidate,Independent
GOVERNOR,1,No Candidate/Corban Gehler (Write-in),Democrat
GOVERNOR,3,No Candidate/William Henry Davis III (Write-in),Democrat
ATTORNEY GENERAL,2642851,Total Votes,NA
ATTORNEY GENERAL,1288712,Brad Schimel,Republican
ATTORNEY GENERAL,1305902,Josh Kaul,Democrat
ATTORNEY GENERAL,47038,Terry Larson,Constitution
SECRETARY OF STATE,2617948,Total Votes,NA
SECRETARY OF STATE,1235034,Jay Schroeder,Republican
SECRETARY OF STATE,1380752,Doug La Follette,Democrat
SECRETARY OF STATE,60,Brad Karas (write-in),Wisconsin Green
STATE TREASURER,2601962,Total Votes,NA
STATE TREASURER,1216811,Travis Hartwig,Republican
STATE TREASURER,1324110,Sarah Godlewski,Democrat
STATE TREASURER,59570,Andrew Zuelke,Constitution
UNITED STATES SENATOR,2660763,Total Votes,NA
UNITED STATES SENATOR,1184885,Leah Vukmir,Republican
UNITED STATES SENATOR,1472914,Tammy Baldwin,Democrat
UNITED STATES SENATOR,28,Mary Jo Walters (write-in),Independent
UNITED STATES SENATOR,14,John Schiess (write-in),Independent
REPRESENTATIVE IN CONGRESS DISTRICT 1,325317,Total Votes,NA
REPRESENTATIVE IN CONGRESS DISTRICT 1,177492,Bryan Steil,Republican
REPRESENTATIVE IN CONGRESS DISTRICT 1,137508,Randy Bryce,Democrat
REPRESENTATIVE IN CONGRESS DISTRICT 1,10006,Ken Yorgan,Independent
REPRESENTATIVE IN CONGRESS DISTRICT 1,7,Joseph Kexel (write-in),Independent
REPRESENTATIVE IN CONGRESS DISTRICT 2,317295,Total Votes,NA
REPRESENTATIVE IN CONGRESS DISTRICT 2,309116,Mark Pocan,Democrat
REPRESENTATIVE IN CONGRESS DISTRICT 2,29,Joey Wayne Reed (write-in),Republican
REPRESENTATIVE IN CONGRESS DISTRICT 2,1,Bradley Jason Burt (write-in),Democrat
REPRESENTATIVE IN CONGRESS DISTRICT 2,8,Rick Cruz (Write-in),Independent
REPRESENTATIVE IN CONGRESS DISTRICT 3,314989,Total Votes,NA
REPRESENTATIVE IN CONGRESS DISTRICT 3,126980,Steve Toft,Republican
REPRESENTATIVE IN CONGRESS DISTRICT 3,187888,Ron Kind,Democrat
REPRESENTATIVE IN CONGRESS DISTRICT 4,273087,Total Votes,NA
REPRESENTATIVE IN CONGRESS DISTRICT 4,59091,Tim Rogers,Republican
REPRESENTATIVE IN CONGRESS DISTRICT 4,206487,Gwen S. Moore,Democrat
REPRESENTATIVE IN CONGRESS DISTRICT 4,7170,Robert R. Raymond,Independent
REPRESENTATIVE IN CONGRESS DISTRICT 5,364288,Total Votes,NA
REPRESENTATIVE IN CONGRESS DISTRICT 5,225619,"F. James Sensenbrenner, Jr.",Republican
REPRESENTATIVE IN CONGRESS DISTRICT 5,138385,Tom Palzewicz,Democrat
REPRESENTATIVE IN CONGRESS DISTRICT 5,1,Ramon Garcia (write-in),Democrat
REPRESENTATIVE IN CONGRESS DISTRICT 6,325065,Total Votes,NA
REPRESENTATIVE IN CONGRESS DISTRICT 6,180311,Glenn Grothman,Republican
REPRESENTATIVE IN CONGRESS DISTRICT 6,144536,Dan Kohl,Democrat
REPRESENTATIVE IN CONGRESS DISTRICT 7,322840,Total Votes,NA
REPRESENTATIVE IN CONGRESS DISTRICT 7,194061,Sean P. Duffy,Republican
REPRESENTATIVE IN CONGRESS DISTRICT 7,124307,Margaret Engebretson,Democrat
REPRESENTATIVE IN CONGRESS DISTRICT 7,4416,Ken Driessen,Independent
REPRESENTATIVE IN CONGRESS DISTRICT 7,3,Bob Look (write-in),Democrat
REPRESENTATIVE IN CONGRESS DISTRICT 8,328774,Total Votes,NA
REPRESENTATIVE IN CONGRESS DISTRICT 8,209410,Mike Gallagher,Republican
REPRESENTATIVE IN CONGRESS DISTRICT 8,119265,Beau Liegeois,Democrat
STATE SENATOR DISTRICT 1,86768,Total Votes,NA
STATE SENATOR DISTRICT 1,47289,André Jacque,Republican
STATE SENATOR DISTRICT 1,39414,Caleb Frostman,Democrat
STATE SENATOR DISTRICT 3,37860,Total Votes,NA
STATE SENATOR DISTRICT 3,36875,Tim Carpenter,Democrat
STATE SENATOR DISTRICT 5,93529,Total Votes,NA
STATE SENATOR DISTRICT 5,47836,Dale Kooyenga,Republican
STATE SENATOR DISTRICT 5,45591,Julie Henszey,Democrat
STATE SENATOR DISTRICT 7,84822,Total Votes,NA
STATE SENATOR DISTRICT 7,28459,Jason Red Arnold,Republican
STATE SENATOR DISTRICT 7,56198,Chris Larson,Democrat
STATE SENATOR DISTRICT 9,76409,Total Votes,NA
STATE SENATOR DISTRICT 9,44680,Devin LeMahieu,Republican
STATE SENATOR DISTRICT 9,31684,Kyle Whelton,Democrat
STATE SENATOR DISTRICT 11,62066,Total Votes,NA
STATE SENATOR DISTRICT 11,59512,Steve Nass,Republican
STATE SENATOR DISTRICT 11,53,Steve Michael Johnson (Write In),Independent
STATE SENATOR DISTRICT 13,84077,Total Votes,NA
STATE SENATOR DISTRICT 13,49668,Scott Fitzgerald,Republican
STATE SENATOR DISTRICT 13,34385,Michelle Zahn,Democrat
STATE SENATOR DISTRICT 15,55343,Total Votes,NA
STATE SENATOR DISTRICT 15,53458,Janis Ringhand,Democrat
STATE SENATOR DISTRICT 15,4,Gregory Alan Neumann (wr-in),Republican
STATE SENATOR DISTRICT 17,69248,Total Votes,NA
STATE SENATOR DISTRICT 17,37465,Howard Marklein,Republican
STATE SENATOR DISTRICT 17,31757,Kriss Marion,Democrat
STATE SENATOR DISTRICT 19,81701,Total Votes,NA
STATE SENATOR DISTRICT 19,43493,Roger Roth,Republican
STATE SENATOR DISTRICT 19,38179,Lee Snodgrass,Democrat
STATE SENATOR DISTRICT 21,83783,Total Votes,NA
STATE SENATOR DISTRICT 21,48603,Van H. Wanggaard,Republican
STATE SENATOR DISTRICT 21,35111,Lori Hawkins,Democrat
STATE SENATOR DISTRICT 23,72606,Total Votes,NA
STATE SENATOR DISTRICT 23,42958,Kathy Bernier,Republican
STATE SENATOR DISTRICT 23,29637,Chris Kapsner,Democrat
STATE SENATOR DISTRICT 25,77604,Total Votes,NA
STATE SENATOR DISTRICT 25,37960,James Bolen,Republican
STATE SENATOR DISTRICT 25,39624,Janet Bewley,Democrat
STATE SENATOR DISTRICT 27,97651,Total Votes,NA
STATE SENATOR DISTRICT 27,32992,Casey Helbach,Republican
STATE SENATOR DISTRICT 27,64605,Jon B. Erpenbach,Democrat
STATE SENATOR DISTRICT 29,77325,Total Votes,NA
STATE SENATOR DISTRICT 29,49657,Jerry Petrowski,Republican
STATE SENATOR DISTRICT 29,27627,Richard Pulcher,Democrat
STATE SENATOR DISTRICT 31,77561,Total Votes,NA
STATE SENATOR DISTRICT 31,35684,Mel Pittman,Republican
STATE SENATOR DISTRICT 31,40073,Jeff Smith,Democrat
STATE SENATOR DISTRICT 31,1776,Aaron Elaine Camacho,Independent
STATE SENATOR DISTRICT 33,70992,Total Votes,NA
STATE SENATOR DISTRICT 33,68759,Chris Kapenga,Republican
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 1,30202,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 1,20651,Joel C. Kitchens,Republican
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 1,9519,Roberta Thelen,Independent
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 2,27389,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 2,15014,Shae Sortwell,Republican
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 2,10118,Mark Grams,Democrat
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 2,745,Kevin A. Bauer,Libertarian
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 2,1494,Jeff Dahlke,Independent
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 3,27624,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 3,15847,Ron Tusler,Republican
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 3,11775,Scott Gavin,Democrat
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 4,27899,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 4,15291,David Steffen,Republican
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 4,12585,Terry Lee,Democrat
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 5,28127,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 5,17175,Jim Steineke,Republican
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 5,10952,Matt Lederer,Democrat
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 6,24398,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 6,15028,Gary Tauchen,Republican
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 6,7693,Richard Sarnwick,Democrat
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 6,1675,Mike Hammond,Libertarian
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 7,19400,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 7,15187,Daniel G. Riemer,Democrat
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 7,3953,Matthew J. Bughman,Libertarian
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 8,9038,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 8,1639,Angel C. Sanchez,Republican
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 8,7384,JoCasta Zamarripa,Democrat
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 9,11692,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 9,11453,Marisabel Cabrera,Democrat
