assembly_district,gov_dem,gov_rep,gov_total,ag_dem,ag_rep,ag_total,sos_dem,sos_rep,sos_total,trs_dem,trs_rep,trs_total,uss_dem,uss_rep,uss_total,wsa_total,wsa_dem,wsa_rep,Independent,Libertarian,Constitution
1,13508,17426,31427,13547,17062,31128,14341,16429,30794,13665,16131,30590,15831,15457,31313,30202,0,20651,9519,0,0
10,20621,2428,23369,20140,2518,23031,20385,2301,22726,20148,2233,22705,21263,2157,23444,21149,20961,0,0,0,0
11,16601,2813,19729,16141,2857,19385,16610,2486,19134,16373,2436,19157,17262,2452,19740,17380,17162,0,0,0,0
12,16172,3927,20426,15752,3969,20113,16370,3520,19918,16075,3504,19917,16967,3431,20440,17702,17428,0,0,0,0
13,15188,17328,33073,15161,17091,32736,16120,16189,32354,15422,16040,32109,16950,15958,32967,32323,15662,16617,0,0,0
14,16655,17660,34800,16641,17437,34476,17554,16446,34029,16799,16324,33658,18351,16324,34727,34162,16597,16459,402,691,0
15,12235,14746,27564,11921,14718,27195,13160,13670,26873,12360,13529,26596,13869,13417,27354,26891,11768,15089,0,0,0
16,16555,1647,18606,16099,1783,18284,16307,1693,18043,16142,1630,18087,17113,1524,18686,17066,16861,0,0,0,0
17,19778,3132,23267,19274,3205,22931,19761,2872,22653,19554,2848,22783,20550,2799,23374,21021,20820,0,0,0,0
18,16928,2041,19359,16453,2199,19067,16778,1975,18795,16626,1879,18868,17432,1942,19407,17603,17426,0,0,0,0
19,24929,7002,32806,24980,6938,32460,25388,6662,32124,24789,6646,32129,26285,6440,32797,28249,27543,0,0,0,0
2,10769,16881,28206,10915,16361,27831,11850,15667,27540,11059,15506,27396,12856,15139,28031,27389,10118,15014,1494,745,0
20,16293,10851,27772,16013,10831,27463,17110,9956,27102,16516,9709,26963,17763,9795,27628,21069,20245,0,0,0,0
21,12201,13888,26652,12042,13651,26300,13201,12729,25959,12476,12508,25642,13838,12555,26451,26123,11806,14280,0,0,0
22,11271,22104,33815,11235,21860,33496,12245,20853,33120,11639,20692,32917,13376,20237,33653,32922,11738,21155,0,0,0
23,16793,18294,35525,17104,17831,35281,17745,17054,34838,16995,17085,34560,18864,16514,35419,35281,16939,18321,0,0,0
24,14852,18102,33399,14893,17791,33099,15795,16983,32804,15118,16882,32497,16802,16420,33250,32906,15244,17650,0,0,0
25,9022,14778,24257,9295,14173,23961,10305,13444,23759,9390,13579,23626,11134,13003,24154,23838,9042,14785,0,0,0
26,9953,14828,25247,9891,14496,24943,10999,13777,24797,10264,13634,24499,11480,13589,25102,24966,10466,14485,0,0,0
27,11209,16548,28229,11215,16131,27887,12431,15258,27705,11682,15130,27404,13221,14797,28056,27735,11186,16533,0,0,0
28,9378,14685,24634,9486,14316,24397,9787,14578,24370,9641,14141,24316,10679,13836,24521,24473,10028,14441,0,0,0
29,10187,12049,23093,10253,12003,22849,10649,12132,22790,10354,11731,22714,11554,11411,22973,22896,9750,12523,0,620,0
3,11772,16010,28315,11743,15831,28038,12606,15075,27682,11931,14831,27536,13737,14423,28160,27624,11775,15847,0,0,0
30,13357,14224,28466,13483,14221,28282,13637,14520,28171,13434,14004,28064,14680,13668,28364,28271,13015,15240,0,0,0
31,11716,14733,27053,11544,14637,26696,12287,14169,26477,11627,13844,26203,13396,13466,26889,26623,11305,15299,0,0,0
32,9216,15730,25475,9291,15460,25232,9866,15225,25110,9545,14835,24936,10858,14425,25333,25015,10182,14815,0,0,0
33,10494,17378,28367,10298,17361,28090,11068,16673,27763,10406,16550,27564,11952,16210,28212,27478,10219,17236,0,0,0
34,11883,19524,32088,12206,19013,31728,12933,18489,31440,12324,18326,31266,14116,17765,31920,31816,12096,19699,0,0,0
35,9548,16262,26936,9627,16207,26366,10590,15583,26204,10272,15069,25983,12111,14526,26655,26107,9714,16380,0,0,0
36,8990,16448,25886,8857,16077,25431,9686,15532,25226,9134,15495,25279,10998,14601,25608,25283,8338,16938,0,0,0
37,12011,15065,27565,11675,15142,27279,12514,14446,26981,11669,14402,26763,13428,13955,27413,20433,0,19616,0,0,0
38,12680,18929,32060,12393,18952,31759,13360,18080,31461,12634,17969,31202,14280,17594,31908,31361,13286,18056,0,0,0
39,9116,15854,25469,9028,15789,25246,9741,15137,24878,9073,15096,24753,10742,14506,25248,25150,9210,15940,0,0,0
4,13116,14872,28528,13051,14715,28257,13971,13930,27926,13257,13751,27789,14900,13458,28413,27899,12585,15291,0,0,0
40,8986,15428,24838,8800,15264,24545,9428,14845,24282,8968,14689,24326,10505,14150,24667,24555,8759,15794,0,0,0
41,9827,14133,24491,9678,14132,24303,10402,13732,24146,9646,13385,24005,11522,12909,24450,24249,8984,15257,0,0,0
42,12439,13963,26933,11868,14223,26575,12732,13710,26457,11831,13514,26042,13623,13119,26771,26529,11209,15299,0,0,0
43,15477,11523,27609,14934,11717,27182,15766,11127,26918,14916,10960,26626,16627,10815,27479,26564,16241,10288,0,0,0
44,14595,8261,23498,14200,8445,23158,14920,8077,23017,14211,7762,22676,15433,7916,23376,18472,18005,0,0,0,0
45,12492,8302,21397,11953,8431,20962,12737,8097,20858,12046,7913,20649,13560,7719,21297,17950,14198,0,0,3496,0
46,20521,9826,30893,19769,10293,30498,20666,9627,30322,19816,9550,30029,21447,9288,30780,24697,24011,0,0,0,0
47,24178,7569,32306,23665,7954,32010,24131,7526,31699,23336,7463,31425,25033,7161,32243,26226,25706,0,0,0,0
48,26437,5962,33003,25701,6459,32641,26427,6016,32486,25779,5858,32215,27159,5715,32928,28297,27794,0,0,0,0
49,10877,10679,22052,10269,10975,21681,11056,10509,21575,10161,10819,21489,11931,9924,21863,21844,8968,12858,0,0,0
5,10970,17120,28604,10867,16986,28352,11744,16247,27994,11157,15839,27780,12812,15668,28488,28127,10952,17175,0,0,0
50,10375,12103,22941,9805,12454,22729,10445,12085,22536,9749,11978,22377,11526,11313,22850,22700,9658,12379,659,0,0
51,13356,11030,24870,12550,11420,24477,13797,10477,24281,12531,10959,24063,14851,9827,24691,24573,12113,12445,0,0,0
52,9953,14476,24851,10277,14059,24675,10674,13684,24373,10041,13545,24137,11368,13169,24557,24604,9427,15164,0,0,0
53,9378,14659,24491,9356,14544,24295,9751,14251,24016,9292,13981,23876,10718,13568,24312,23986,8812,15160,0,0,0
54,13472,10325,24389,13369,10321,24167,13827,10010,23871,13352,9706,23724,14711,9557,24308,19160,18019,0,0,0,0
55,12393,14836,27901,12541,14646,27733,13253,14183,27455,12736,13735,27296,14324,13475,27828,27418,12283,15122,0,0,0
56,12362,18093,31045,12343,17917,30759,13028,17335,30366,12429,16940,30130,14260,16591,30864,30147,12110,18033,0,0,0
57,13121,9665,23482,13194,9545,23275,13730,9228,22967,13259,8786,22903,14516,8857,23394,17257,16946,0,0,0,0
58,8168,20650,29205,8152,20470,29032,9007,19771,28778,8366,19682,28579,10018,19035,29054,28839,8368,20471,0,0,0
59,7263,20597,28262,7297,20323,28036,8182,19527,27733,7556,19357,27508,9084,18931,28026,23504,0,23339,0,0,0
6,8477,15801,24763,8252,15703,24471,8893,15316,24209,8422,15023,24130,10137,14433,24578,24398,7693,15028,0,1675,0
60,10208,21805,32454,10347,21442,32216,11020,20840,31889,10443,20679,31702,12088,20181,32306,31920,11182,20702,0,0,0
61,10885,15925,27612,10819,15907,27280,11457,15618,27102,11118,15026,26793,12653,14764,27456,26841,10207,16606,0,0,0
62,12526,16649,29796,12345,16688,29539,13454,15818,29300,12882,15642,29151,14300,15329,29673,29223,13161,16035,0,0,0
63,11061,16379,27991,10725,16538,27723,11771,15672,27463,11221,15459,27297,12711,15083,27836,27499,10705,16775,0,0,0
64,13229,9820,23663,12925,9972,23353,13672,9475,23169,13314,9089,22936,14440,9048,23525,21416,16773,0,0,0,4441
65,12107,6663,19493,11873,6854,19175,12457,6593,19067,12090,6190,18824,13055,6210,19303,14931,14456,0,0,0,0
66,12542,4922,18016,12374,4890,17757,12996,4639,17666,12676,4419,17578,13433,4454,17922,14896,14450,0,0,0,0
67,10851,14840,26219,10491,14649,25876,11466,14198,25664,10906,14128,25649,12664,13416,26081,25848,9878,15970,0,0,0
68,11005,13361,24889,10883,13083,24626,11821,12518,24345,11275,12376,24301,12839,11923,24775,24533,10394,14129,0,0,0
69,8239,13983,22624,8284,13477,22279,9223,12817,22045,8495,12715,21918,10183,12269,22459,18905,1576,17257,0,0,0
7,13411,9064,23062,13117,9070,22748,14117,8269,22413,13525,8096,22261,14637,8212,22908,19400,15187,0,0,3953,0
70,10132,14073,24722,9997,13812,24369,10909,13284,24210,10265,13004,24018,11956,12640,24626,24273,9223,15027,0,0,0
