county,muni,reporting_unit_name,congressional_district,senate_district,assembly_district,gov_dem,gov_rep,gov_total,ag_dem,ag_rep,ag_total,sos_dem,sos_rep,sos_total,trs_dem,trs_rep,trs_total,uss_dem,uss_rep,uss_total
ADAMS,Town of ADAMS,Town of ADAMS Wards 1-3,Congressional - District 3,State Senate - District 14,Assembly - District 41,233,356,607,231,344,588,245,332,577,232,324,576,283,316,600
ADAMS,Town of BIG FLATS,Town of BIG FLATS Wards 1-2,Congressional - District 3,State Senate - District 24,Assembly - District 72,162,262,440,155,251,425,182,245,427,181,224,423,198,232,431
ADAMS,Town of COLBURN,Town of COLBURN Ward 1,Congressional - District 3,State Senate - District 24,Assembly - District 72,40,63,105,43,59,103,46,57,103,38,58,101,49,54,103
ADAMS,Town of DELL PRAIRIE,Town of DELL PRAIRIE Wards 1-3,Congressional - District 3,State Senate - District 14,Assembly - District 41,333,270,616,325,406,747,350,397,747,320,397,741,395,369,765
ADAMS,Town of EASTON,Town of EASTON Wards 1-2,Congressional - District 3,State Senate - District 14,Assembly - District 41,184,272,464,169,269,453,187,265,452,181,257,456,208,252,461
ADAMS,Town of JACKSON,Town of JACKSON Wards 1-2,Congressional - District 3,State Senate - District 14,Assembly - District 41,235,274,522,219,290,519,239,280,519,227,280,528,248,276,524
ADAMS,Town of LEOLA,Town of LEOLA Ward 1,Congressional - District 3,State Senate - District 24,Assembly - District 72,19,113,133,20,105,130,26,104,130,24,101,129,28,102,130
ADAMS,Town of LINCOLN,Town of LINCOLN Ward 1,Congressional - District 3,State Senate - District 14,Assembly - District 41,74,79,156,64,82,153,70,81,151,73,73,152,86,69,155
ADAMS,Town of MONROE,Town of MONROE Ward 1,Congressional - District 3,State Senate - District 24,Assembly - District 72,88,145,234,95,134,231,101,124,225,97,127,228,110,124,234
ADAMS,Town of NEW CHESTER,Town of NEW CHESTER Wards 1-3,Congressional - District 3,State Senate - District 14,Assembly - District 41,152,209,369,142,211,362,158,198,356,152,192,354,184,179,364
ADAMS,Town of NEW HAVEN,Town of NEW HAVEN Ward 1,Congressional - District 3,State Senate - District 14,Assembly - District 41,158,158,328,145,164,322,153,168,321,135,163,317,173,152,325
ADAMS,Town of PRESTON,Town of PRESTON Wards 1-2,Congressional - District 3,State Senate - District 24,Assembly - District 72,279,364,656,270,360,643,299,350,649,290,349,652,318,344,662
ADAMS,Town of QUINCY,Town of QUINCY Wards 1-3,Congressional - District 3,State Senate - District 14,Assembly - District 41,277,325,614,275,318,603,288,307,595,278,298,590,313,298,611
ADAMS,Town of RICHFIELD,Town of RICHFIELD Ward 1,Congressional - District 3,State Senate - District 24,Assembly - District 72,23,61,84,23,54,79,28,49,77,26,46,75,36,46,82
ADAMS,Town of ROME,Town of ROME Wards 1-5,Congressional - District 3,State Senate - District 24,Assembly - District 72,766,1104,1895,788,1068,1885,792,1063,1855,764,1049,1839,887,1009,1897
ADAMS,Town of SPRINGVILLE,Town of SPRINGVILLE Wards 1-2,Congressional - District 3,State Senate - District 14,Assembly - District 41,219,341,571,202,353,569,234,333,567,209,333,561,246,326,572
ADAMS,Town of STRONGS PRAIRIE,Town of STRONGS PRAIRIE Wards 1-3,Congressional - District 3,State Senate - District 24,Assembly - District 72,235,312,558,233,300,544,260,283,543,247,284,544,283,271,554
ADAMS,Village of FRIENDSHIP,Village of FRIENDSHIP Ward 1,Congressional - District 3,State Senate - District 14,Assembly - District 41,113,138,254,109,131,244,116,125,241,113,122,246,131,121,252
ADAMS,City of ADAMS,City of ADAMS Wards 1-4,Congressional - District 3,State Senate - District 14,Assembly - District 41,294,356,669,301,337,653,321,327,648,301,314,641,353,305,660
ADAMS,CITY OF WISCONSIN DELLS,"CITY OF WISCONSIN DELLS Wards 5,9",Congressional - District 3,State Senate - District 14,Assembly - District 41,8,7,16,9,7,16,9,6,15,8,6,15,8,9,17
ASHLAND,Town of AGENDA,Town of AGENDA Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,66,133,203,68,124,192,78,111,189,70,109,184,91,105,196
ASHLAND,Town of ASHLAND,Town of ASHLAND Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,152,91,247,141,91,236,149,88,237,137,90,233,153,89,242
ASHLAND,Town of CHIPPEWA,Town of CHIPPEWA Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,67,107,180,69,101,174,74,98,172,77,94,171,85,92,177
ASHLAND,Town of GINGLES,Town of GINGLES Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,248,144,400,232,152,391,242,151,393,242,142,390,255,143,400
ASHLAND,Town of GORDON,Town of GORDON Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 74,53,81,137,52,83,138,60,79,139,55,78,136,61,80,141
ASHLAND,Town of JACOBS,Town of JACOBS Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,110,165,281,105,152,261,117,148,266,107,155,266,120,157,277
ASHLAND,Town of LA POINTE,Town of LA POINTE Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,192,54,253,195,50,247,198,48,246,193,46,245,211,40,252
ASHLAND,Town of MARENGO,Town of MARENGO Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 74,113,90,206,109,91,202,110,92,202,117,82,201,117,88,205
ASHLAND,Town of MORSE,Town of MORSE Wards 1-3,Congressional - District 7,State Senate - District 25,Assembly - District 74,134,113,250,131,107,241,141,106,247,139,103,243,147,106,253
ASHLAND,Town of PEEKSVILLE,Town of PEEKSVILLE Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 74,30,43,77,28,42,74,36,40,76,32,36,72,33,41,74
ASHLAND,Town of SANBORN,Town of SANBORN Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 74,371,66,451,364,62,435,376,70,446,373,66,443,390,58,448
ASHLAND,Town of SHANAGOLDEN,Town of SHANAGOLDEN Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,33,30,65,31,30,63,35,30,65,33,26,61,37,28,65
ASHLAND,Town of WHITE RIVER,Town of WHITE RIVER Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 74,139,266,415,141,264,409,150,253,403,147,247,398,164,249,413
ASHLAND,Village of BUTTERNUT,Village of BUTTERNUT Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 74,71,62,135,70,63,134,75,59,134,74,60,134,79,55,134
ASHLAND,City of ASHLAND,City of ASHLAND Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,188,205,399,189,199,393,195,201,397,197,191,394,224,173,397
ASHLAND,City of ASHLAND,City of ASHLAND Ward 2,Congressional - District 7,State Senate - District 25,Assembly - District 74,146,59,217,140,61,209,155,59,214,145,63,214,162,55,217
ASHLAND,City of ASHLAND,City of ASHLAND Ward 3,Congressional - District 7,State Senate - District 25,Assembly - District 74,170,86,259,166,82,251,175,80,255,166,84,252,178,79,257
ASHLAND,City of ASHLAND,City of ASHLAND Ward 4,Congressional - District 7,State Senate - District 25,Assembly - District 74,264,123,394,259,128,390,267,126,393,261,122,390,285,111,396
ASHLAND,City of ASHLAND,City of ASHLAND Ward 5,Congressional - District 7,State Senate - District 25,Assembly - District 74,272,78,357,268,83,354,274,86,360,267,83,355,284,77,361
ASHLAND,City of ASHLAND,City of ASHLAND Ward 6,Congressional - District 7,State Senate - District 25,Assembly - District 74,177,61,251,175,57,242,186,60,247,186,58,249,196,53,250
ASHLAND,City of ASHLAND,City of ASHLAND Ward 7,Congressional - District 7,State Senate - District 25,Assembly - District 74,290,84,383,275,85,372,282,88,370,284,80,370,299,82,382
ASHLAND,City of ASHLAND,City of ASHLAND Ward 8,Congressional - District 7,State Senate - District 25,Assembly - District 74,199,82,288,201,80,282,203,83,286,201,81,284,209,77,286
ASHLAND,City of ASHLAND,City of ASHLAND Ward 9,Congressional - District 7,State Senate - District 25,Assembly - District 74,168,58,237,167,56,233,177,59,237,171,54,231,179,54,235
ASHLAND,City of ASHLAND,City of ASHLAND Ward 10,Congressional - District 7,State Senate - District 25,Assembly - District 74,183,86,274,176,87,271,178,93,272,176,84,269,192,80,273
ASHLAND,City of ASHLAND,City of ASHLAND Ward 11,Congressional - District 7,State Senate - District 25,Assembly - District 74,212,118,336,217,106,327,224,105,329,221,103,329,233,102,335
