senate_district,gov_dem,gov_rep,gov_total,ag_dem,ag_rep,ag_total,sos_dem,sos_rep,sos_total,trs_dem,trs_rep,trs_total,uss_dem,uss_rep,uss_total
State Senate - District 1,36049,50317,87948,36205,49254,86997,38797,47171,86016,36655,46468,85522,42424,45019,87504
State Senate - District 10,32922,40958,76193,33222,40540,75528,34073,41230,75331,33429,39876,75094,36913,38915,75858
State Senate - District 11,31426,47841,80895,31133,47458,80018,33221,46067,79350,31578,45229,78703,36206,44101,80434
State Senate - District 12,30421,52234,84910,30690,51297,83525,33209,49604,82870,31730,48890,82528,37225,46892,84183
State Senate - District 13,33807,49848,85094,33096,49883,84284,35615,47663,83320,33376,47467,82718,38450,46055,84569
State Senate - District 14,31252,43524,76262,30346,43619,75423,32562,42287,74885,30445,41588,74373,35650,40178,75888
State Senate - District 15,42564,28086,72504,41087,28593,71302,43423,27301,70793,41173,26635,69951,45620,26450,72152
State Senate - District 16,71136,23357,96202,69135,24706,95149,71224,23169,94507,68931,22871,93669,73639,22164,95951
State Senate - District 17,34608,33812,69863,32624,34849,68887,35298,33071,68392,32441,33756,67929,38308,31064,69404
State Senate - District 18,32803,39460,73731,33002,38924,73137,34252,37945,72260,32685,37232,71737,36797,36294,73177
State Senate - District 19,37876,42594,82428,38078,42108,81767,40011,40746,80788,38424,39461,80329,43100,38923,82086
State Senate - District 2,32563,47793,81895,32170,47404,81080,34608,45493,80129,32836,44613,79699,37849,43559,81479
State Senate - District 20,25639,63052,89921,25796,62235,89284,28209,60138,88400,26365,59718,87789,31190,58147,89386
State Senate - District 21,34472,48953,85399,33889,49133,84542,36682,47108,83865,35221,46127,83241,39664,45176,84965
State Senate - District 22,37878,21405,61172,37172,21716,60285,39125,20707,59902,38080,19698,59338,40928,19712,60750
State Senate - District 23,30095,42184,73732,29658,41209,72781,32510,39533,72054,30676,39219,71868,35686,37608,73315
State Senate - District 24,35957,41274,79005,35530,40767,77906,38189,39060,77303,36398,38146,76719,41110,37469,78671
State Senate - District 25,38248,38284,78118,38138,37502,77117,39830,37142,76997,38692,36469,76681,42178,35483,77694
State Senate - District 26,92066,16196,110464,90755,17359,109376,91298,16887,108434,89792,16501,108028,94710,15508,110391
State Senate - District 27,63166,34277,99267,60927,35937,98323,63549,33816,97426,60637,33771,96467,66614,32220,98922
State Senate - District 28,34495,56392,92240,33897,56122,91239,37486,52553,90105,35366,52097,89116,39946,51601,91669
State Senate - District 29,30152,46738,78397,30275,45859,77540,33217,43470,76740,31616,42949,76403,36366,41471,77916
State Senate - District 3,31590,13958,46708,30957,13902,45974,32417,12756,45236,31718,12362,45261,33799,12547,46453
State Senate - District 30,32729,37134,71564,32560,36778,70822,34767,35252,70070,33238,34599,69849,37354,33703,71158
State Senate - District 31,39217,37469,78556,38882,36619,77500,41058,35819,76934,40022,34721,76797,44572,33526,78173
State Senate - District 32,43651,35591,81127,43049,35155,79993,45295,34015,79316,43449,33439,78934,49070,31692,80769
State Senate - District 33,30269,60232,91818,29379,60305,90964,32563,57163,89792,30769,56621,89102,35026,56054,91197
State Senate - District 4,53394,9168,63524,52033,9344,62529,53365,8307,61778,52596,8173,61779,55492,8040,63624
State Senate - District 5,44078,49734,95437,43723,49246,94407,46834,46305,93256,44581,45893,92363,49170,45699,95048
State Senate - District 6,53261,6820,61232,51826,7187,60282,52846,6540,59491,52322,6357,59738,55095,6265,61467
State Senate - District 7,53423,31741,87230,53035,31420,86223,55699,29347,85185,53781,28863,84734,57886,28790,86876
State Senate - District 8,42916,58500,102739,43232,57482,101876,45785,54890,100762,43752,54659,99974,49042,53171,102322
State Senate - District 9,30184,46154,77733,30401,44800,76791,33735,42479,76261,31336,42343,75529,35835,41389,77312
